,BC07_tumor,BC07,BC08_tumor,BC08,BC09_tumor,BC09,BC10_tumor,BC10
Pex11b,362,310,386,431,624,363,357,470
Itga10,435,244,55,142,50,62,48,119
Ankrd35,7,3,12,32,11,5,8,3
Pias3,387,401,600,621,383,352,573,453
Nudt17,17,25,36,72,11,5,12,17
Polr3c,1106,1171,729,1117,1611,1476,884,1226
Rnf115,1075,1068,599,776,788,961,751,1178
Cd160,10,4,0,0,5,1,3,8
Pdzk1,3,3,0,0,1,2,0,2
Gpr89,569,586,457,617,939,819,479,581
Gja8,0,1,0,0,3,0,1,0
Gja5,2,8,20,0,8,0,0,0
Acp6,832,787,289,308,1140,538,376,336
Bcl9,941,1397,1079,1306,1347,1283,650,898
Or13l2,0,0,0,0,0,0,0,0
Chd1l,1017,1143,397,690,981,765,425,645
Fmo5,36,34,42,27,42,12,17,15
Prkab2,446,334,977,375,445,406,402,870
Pde4dip,1048,1158,1834,770,1170,773,922,1107
Sec22b,1275,1475,1421,1180,1583,1066,1397,1314
Gm5544,0,0,2,0,0,3,8,2
Notch2,4605,4713,2946,2658,2443,3049,2119,2669
Adam30,1,0,0,0,0,1,0,1
Reg4,0,0,0,0,0,0,0,0
Hmgcs2,940,381,0,0,7,0,0,0
Phgdh,13446,12632,5266,6633,14220,8208,7380,10001
Zfp697,228,226,416,189,259,287,216,324
Hsd3b9,0,0,1,0,0,0,0,0
Hsd3b4,0,2,1,0,0,0,0,0
Hsd3b8,0,2,1,0,0,0,0,0
Hsd3b5,0,0,0,0,0,0,0,0
Hsd3b2,0,0,1,1,0,0,0,2
Hsd3b3,0,1,5,1,0,2,2,2
Hsd3b6,0,0,0,0,0,0,0,0
Hsd3b1,0,0,0,0,0,0,0,0
Hao2,0,0,0,0,0,0,0,0
Wars2,341,419,162,292,217,270,144,300
Tbx15,6,3,64,311,6,9,12,19
Gm54211,2,6,1,4,0,0,0,0
Spag17,8,4,0,9,2,1,2,2
Wdr3,2920,3094,1370,1835,2625,3208,1619,3399
Gdap2,468,491,532,415,511,536,352,492
Tent5c,155,244,69,68,17,30,28,32
