,BC07_tumor,BC07,BC08_tumor,BC08,BC09_tumor,BC09,BC10_tumor,BC10
Adamts10,828,593,687,683,788,339,526,600
Myo1f,8,5,31,1,13,0,19,4
Zfp414,327,296,379,443,363,266,288,346
Pram1,5,11,9,4,16,13,5,14
Hnrnpm,6759,8250,5414,8908,6507,10342,6344,10879
Marchf2,249,170,431,227,486,332,351,291
Rab11b,1795,2083,2495,2357,1876,2025,1836,2451
Angptl4,217,151,521,87,318,180,425,50
Kank3,160,110,129,93,212,158,63,65
Rps28,3450,4200,2340,3836,4294,3812,3143,5399
Ndufa7,1663,1324,1039,1616,2139,1574,1188,1823
Cd320,639,537,416,586,599,719,459,638
Kifc1,1304,1273,1235,1539,1289,1236,1184,1697
Smim40,2,4,0,1,1,0,0,1
Daxx,1026,1028,801,884,1199,961,897,965
Zbtb22,360,464,476,604,598,460,447,583
Tapbp,4634,1413,1144,2246,843,438,2042,1220
Rgl2,724,669,699,795,1323,797,831,1064
Pfdn6,1249,1060,690,971,1544,1436,835,1125
Wdr46,1872,2090,1209,1914,2013,3104,1416,2606
B3galt4,60,38,57,41,40,82,25,39
Rps18,12850,13254,9017,16115,21889,15211,12409,16038
Vps52,1009,1097,1149,1478,1303,1461,859,1353
H2-K1,25746,4059,1609,446,2166,792,1382,316
Ring1,227,287,314,441,413,238,230,216
Hsd17b8,298,325,147,398,570,379,159,206
Slc39a7,4327,4873,4925,4456,5696,4704,5195,5317
Rxrb,1931,1708,975,1782,2534,1436,906,1490
Col11a2,973,740,31,413,261,76,22,72
H2-Oa,0,0,0,0,0,0,0,0
Brd2,5383,5650,5113,6412,7081,11660,5415,9419
H2-DMa,201,81,66,65,50,44,56,38
H2-DMb2,16,4,2,0,0,0,0,0
H2-DMb1,537,70,142,6,36,5,50,7
Psmb9,1393,63,11,25,25,6,15,5
Tap1,3220,317,143,147,208,20,177,32
Psmb8,3534,269,92,38,65,2,180,52
Tap2,1614,363,460,243,227,59,369,76
H2-Ob,0,0,0,1,0,0,0,0
H2-Ab1,747,39,44,0,21,2,64,3
H2-Aa,246,14,1,0,2,0,1,0
H2-Eb1,238,15,4,0,10,0,8,2
H2-Eb2,0,0,0,0,0,0,0,0
H2-Ea,0,0,0,0,0,0,0,0
Btnl2,2,0,0,0,0,0,0,0
Btnl1,1,0,0,0,0,0,0,0
Tsbp1,11,0,0,0,0,2,0,3
Btnl4,0,1,0,0,0,0,0,0
Btnl6,1,0,0,0,0,0,0,0
Notch4,40,32,300,10,60,3,42,23
Gpsm3,107,118,202,27,169,91,163,80
Pbx2,740,829,553,629,704,446,581,588
Ager,45,30,7,6,6,7,21,30
Rnf5,655,758,495,641,771,644,451,553
Agpat1,1475,1598,2146,1416,2173,2251,2077,2792
Egfl8,34,37,14,22,36,26,23,21
Ppt2,513,478,551,529,1010,655,396,425
Prrt1,0,0,7,0,11,0,4,3
Fkbpl,89,90,100,113,113,120,72,72
Atf6b,1968,1977,1692,1725,2238,1950,1396,1724
Tnxb,48,90,217,24,84,99,127,138
C4b,10765,1726,232,272,9319,57,72,1
Cyp21a1,1,0,0,0,0,0,0,0
C4a,266,84,24,21,224,9,10,28
Stk19,374,303,294,292,491,363,314,463
Dxo,329,301,328,336,433,396,282,333
Skic2,1320,1173,1239,1768,1544,1293,1179,1384
Nelfe,768,765,818,1080,1068,956,791,1135
Cfb,244,98,411,50,147,90,155,108
C2,1126,661,173,8,140,11,124,28
Zbtb12,487,468,189,550,672,341,389,573
Ehmt2,3615,4131,3003,4225,4878,3903,3763,5522
Slc44a4,20,27,3,1,17,23,0,0
Neu1,523,496,562,243,722,511,426,227
Hspa1b,1117,1019,4704,1227,715,2657,1783,3381
Hspa1a,662,508,2083,550,345,1098,826,1318
Hspa1l,115,109,69,105,71,63,86,158
Lsm2,949,1151,687,882,983,1153,686,1311
D17H6S56E-5,3010,2465,1949,2538,2743,2243,3745,3383
Vars1,7503,7839,5187,6949,11643,10914,7696,12348
Vwa7,30,11,10,3,2,6,2,7
Sapcd1,16,9,0,0,3,3,1,2
Msh5,44,29,8,38,42,35,31,40
Clic1,1420,1338,4290,1514,3385,2071,3721,3175
Ddah2,188,219,530,521,589,123,943,478
Mpig6b,0,0,0,3,1,0,0,0
Ly6g6c,0,0,1,0,0,0,1,0
Ly6g6d,0,1,0,0,0,0,0,0
Ly6g6e,12,0,0,0,0,0,0,0
Ly6g6f,0,0,0,0,0,0,0,0
Abhd16a,884,781,814,1063,874,629,610,586
Ly6g5c,0,0,0,0,0,0,0,1
Ly6g5b,17,19,16,7,6,14,13,34
Csnk2b,376,456,401,417,621,511,322,454
Gpank1,261,239,146,198,383,282,201,249
D17H6S53E,202,170,174,153,297,206,180,170
Apom,5,2,2,1,0,4,8,4
Bag6,5749,6658,5710,7387,7346,8001,6087,8724
Prrc2a,10856,15493,12666,16205,14734,20399,13046,20822
Aif1,7,0,2,0,0,0,1,0
Lst1,4,0,3,0,2,0,1,0
Ltb,5,3,0,0,0,1,0,0
Tnf,11,0,6,0,3,0,10,0
Lta,0,0,1,0,0,1,4,0
Nfkbil1,162,152,186,242,295,124,158,220
Atp6v1g2,16,22,20,42,47,15,19,34
Ddx39b,4723,5220,3574,6953,6502,8088,3828,5619
H2-D1,25242,5891,1918,488,3120,1556,1671,1024
H2-Q1,13,6,1,0,0,5,2,0
H2-Q2,0,0,0,0,1,0,0,0
H2-Q4,6359,535,177,21,274,37,193,23
H2-Q6,7680,490,13,0,56,8,5,0
H2-Q7,9120,782,44,2,221,24,73,2
H2-Q8,7801,510,15,0,59,10,5,1
H2-Q9,8707,765,44,2,212,31,63,3
H2-Q10,42,3,19,0,9,0,6,1
Pou5f1,0,0,2,0,0,0,0,0
Tcf19,778,698,726,1020,860,763,544,1138
Cchcr1,782,656,617,1063,926,739,746,1241
Psors1c2,8,12,10,15,5,7,2,18
Cdsn,156,165,37,176,39,35,32,35
2300002M23Rik,0,0,0,0,0,0,0,1
Muc21,0,0,0,0,0,0,0,0
Mucl3,42,51,9,0,17,16,8,10
Sfta2,0,0,0,0,0,0,0,0
Vars2,1132,1118,576,1124,1324,998,689,1036
Gtf2h4,793,767,515,812,1097,1104,619,855
Ddr1,1579,1630,3954,2576,1618,829,1199,1062
Ier3,1309,860,2185,686,1868,1815,1557,1589
Flot1,624,455,1464,825,2162,688,1348,634
Tubb5,23319,26543,35453,36557,35282,42536,34320,45843
Mdc1,1880,2106,1646,3030,3047,2390,1839,3415
Nrm,232,333,361,682,661,439,282,358
Ppp1r18,464,423,3172,826,1863,1379,2051,2557
Dhx16,1279,1254,1052,1587,1933,1934,1215,1749
2310061I04Rik,465,496,433,505,629,508,361,756
Atat1,153,124,205,325,413,136,256,235
Mrps18b,1065,1343,992,983,1320,1625,1084,1565
Ppp1r10,1617,1885,1417,1931,1431,2140,1521,2453
Abcf1,3759,4669,3216,4542,4998,7202,3640,6099
Prr3,401,406,278,560,680,437,421,559
Gnl1,1251,1321,1539,1592,1995,1952,1985,2232
H2-T24,80,106,97,68,110,101,108,139
H2-T23,716,104,243,241,351,241,295,98
H2-T22,1829,385,708,593,740,464,754,577
H2-T27,1,4,1,0,1,0,0,0
H2-Bl,1,1,1,0,2,0,0,0
Gm54002,6,2,5,0,0,0,0,2
H2-T10,305,11,42,9,22,6,73,18
H2-T25,83,30,4,0,0,0,1,10
Gm10499,0,3,4,0,0,0,3,0
H2-T26,4,4,0,0,1,1,0,0
H2-T3,0,0,0,0,0,0,0,0
Rpp21,123,121,155,121,153,135,90,115
Trim39,343,281,284,369,394,313,227,471
H2-M10.2,6,1,1,1,0,2,3,1
H2-M10.1,0,0,0,0,0,0,0,0
H2-M10.3,0,0,0,0,0,0,0,0
H2-M10.4,0,0,0,0,0,1,0,0
H2-M11,0,0,1,0,0,0,0,0
H2-M9,0,0,5,0,0,0,0,0
H2-M1,0,0,3,0,0,0,0,0
H2-M10.5,0,0,0,0,0,0,0,0
H2-M10.6,0,0,0,0,0,0,0,0
Trim26,510,443,849,728,884,652,581,633
Trim15,9,7,3,2,6,8,1,7
Trim10,9,4,0,0,1,0,0,0
Trim40,0,4,0,0,2,0,0,0
Trim31,0,0,0,0,0,0,0,0
Rnf39,25,52,13,9,1,13,0,10
Ppp1r11,581,614,662,442,703,789,502,741
Polr1h,267,285,225,325,467,330,256,320
Polr1has,86,89,63,89,157,77,72,98
2410137M14Rik,0,0,0,0,0,0,0,0
H2-M5,0,2,4,5,2,1,5,8
Zfp57,167,99,278,149,210,148,186,217
Mog,0,2,0,0,0,0,0,0
Gabbr1,275,286,316,413,275,133,198,221
Or2h2,1,0,0,0,0,0,0,0
Or2h1,0,1,0,0,0,1,0,0
Or2h2c,0,2,0,0,0,0,0,0
Or2h1b,0,0,0,0,0,0,0,0
Ubd,1,0,0,0,2,0,0,0
Or2i1,0,0,0,0,0,0,0,0
Or10c1,0,0,0,0,0,0,0,0
Or11a4,0,0,0,0,0,0,0,0
Or1o2,0,0,0,0,0,0,0,0
Or1o3,0,0,0,0,0,0,0,0
H2-M3,283,64,80,73,126,54,102,56
Or1o4,3,1,0,0,0,3,0,0
Or12d12,0,0,0,0,0,0,0,0
Or12d2,0,0,0,0,0,0,0,0
Or12d13,0,0,0,0,0,0,0,0
Or1o1,0,0,0,0,0,0,0,0
Or1o11,0,0,0,0,0,0,0,0
Or12d17,0,0,0,0,0,0,0,0
H2-M2,0,0,0,0,0,0,1,0
Or5v1,0,0,0,0,0,0,0,0
Or5v1b,0,0,2,0,0,0,0,0
Or14j9,0,0,0,0,0,0,0,0
Or14j2,0,0,0,0,0,0,0,0
Or14j3,0,0,0,0,0,0,0,0
Or14j4,0,0,0,0,0,0,0,0
Or14j10,0,0,0,0,0,0,0,0
Or2g25,0,0,0,0,0,0,0,0
Or10al2,0,0,0,0,0,0,0,0
Or10al3,0,0,0,0,0,0,0,0
Or10al4,0,0,0,0,0,0,0,0
Or10al5,0,0,0,0,0,0,0,0
Or10al6,0,0,0,0,0,0,0,0
Or2g1,0,0,0,0,0,0,0,0
Or2b4,0,0,0,0,0,0,0,0
Or14j1,0,0,0,0,0,0,0,0
Or14j5,0,0,0,0,0,0,0,0
Or14j6,0,0,0,0,0,0,0,0
Or14j7,0,2,0,0,0,0,0,0
Or14j8,0,0,0,0,0,0,0,0
Gm54004,18,23,28,401,8,1,1,0
LOC118568338,0,1,0,0,1,0,0,0
Or10al7,0,0,0,0,0,0,0,0
Or2g7,0,0,0,0,0,0,0,0
Or2y3,0,0,0,0,0,0,0,0
Or2h15,0,0,0,0,0,0,0,0
Or2n1b,0,0,0,0,0,0,0,0
Or2n1,0,0,0,0,0,0,0,0
Or2n1c,0,0,0,0,0,0,0,0
Or2n1e,0,0,0,0,0,0,0,0
Or2j3,0,0,0,0,0,0,0,0
Or2n1d,0,0,0,0,0,0,0,0
Esp36,0,0,0,0,0,0,0,0
Gm54005,0,4,4,7,1,0,0,2
Esp34,0,0,0,0,0,0,0,0
Esp31,0,0,0,0,0,0,0,0
Esp24,0,0,0,0,0,0,0,0
Esp23,0,0,0,0,0,0,0,0
Esp18,0,0,0,0,0,0,0,0
Esp16,0,0,0,0,0,0,0,0
Esp15,0,0,0,0,0,0,0,0
Esp38,0,0,0,0,0,0,0,0
Pgk2,0,0,0,0,0,0,0,0
Crisp3,0,0,0,0,0,0,0,0
Crisp1,0,0,0,0,0,0,0,0
Esp8,0,0,0,0,0,0,0,0
Gm44501,0,0,0,0,0,0,0,0
Esp6,0,0,0,0,0,0,0,0
Esp5,0,0,0,0,0,0,0,0
Esp4,0,0,0,0,0,0,0,0
Esp3,0,0,0,0,0,0,0,0
Esp1,0,0,0,0,0,0,0,0
Crisp2,0,3,8,0,12,0,4,0
Rhag,4,0,8,0,0,0,4,2
9130008F23Rik,31,19,125,21,138,121,110,158
Glyatl3,1,0,0,1,0,5,0,1
Cenpq,531,526,361,480,753,505,435,543
Mmut,625,748,636,886,1181,738,576,809
Gm54006,3,2,0,5,2,0,0,0
Ptchd4,13,12,331,35,186,110,57,105
Opn5,0,0,0,0,1,0,1,0
Adgrf4,5,16,5,0,1,4,1,3
Adgrf2,0,1,0,2,0,2,2,2
Cd2ap,1493,1863,1282,1400,2190,2326,1338,2278
Tnfrsf21,331,399,327,234,424,341,382,789
Adgrf1,1,0,0,0,2,0,0,0
Adgrf5,93,34,633,19,65,9,69,14
Mep1a,0,3,0,1,0,0,0,1
Ankrd66,0,0,1,0,0,7,2,6
Pla2g7,132,154,135,7,48,7,131,135
Tdrd6,0,0,5,1,1,2,1,13
Slc25a27,239,181,58,195,251,71,96,241
Cyp39a1,116,142,149,192,495,62,221,211
Rcan2,21,23,1155,78,165,72,157,390
Enpp5,182,153,96,115,298,51,142,114
Enpp4,717,624,539,501,607,459,552,761
Clic5,63,33,88,4,40,116,7,2
Runx2,294,282,655,1481,236,220,692,1455
Supt3,172,208,166,360,318,133,207,335
4930564C03Rik,0,0,0,0,0,0,0,0
Cdc5l,1465,1761,1258,1797,1650,2263,1525,2434
Spats1,33,29,4,20,4,13,12,15
Aars2,393,407,298,346,468,481,359,458
Tcte1,0,0,0,0,0,0,0,0
Tmem151b,33,7,51,21,39,2,50,8
Nfkbie,84,24,120,37,132,61,167,52
Slc35b2,1929,1851,1713,2518,2573,2016,1499,1636
Hsp90ab1,54744,69385,45279,73882,68463,96912,58783,96669
Slc29a1,4319,4268,1462,3322,3109,2730,1428,3026
Mymx,0,0,1,0,0,0,0,0
Capn11,16,24,1,1,0,3,1,5
Tmem63b,1098,1321,1467,930,1406,982,1171,1518
Mrpl14,606,616,400,592,640,523,451,702
1600014C23Rik,0,0,0,0,2,0,4,0
Vegfa,2069,2047,4641,493,5196,1394,3737,2099
Mrps18a,620,681,485,460,894,927,535,791
Rsph9,16,22,23,27,30,13,23,16
Mad2l1bp,206,229,237,233,256,254,215,254
Gtpbp2,976,760,734,879,1598,466,905,615
Polh,424,603,511,620,718,913,652,950
Xpo5,2877,3415,2660,3061,4055,4709,2887,5058
Polr1c,1326,1308,942,1791,1939,1763,1141,1682
Yipf3,907,830,1395,1482,1506,1107,997,962
Lrrc73,27,24,72,116,57,32,17,51
Tjap1,1158,1161,1183,1958,1645,1559,1165,2306
Dlk2,97,109,382,777,113,206,118,423
Abcc10,401,286,330,393,393,257,250,308
Zfp318,444,565,663,929,626,691,562,776
Crip3,0,3,1,0,1,3,0,0
Slc22a7,0,1,0,1,0,0,0,0
Ttbk1,0,8,25,21,2,80,10,36
Dnph1,1232,1279,661,1176,1512,1678,836,1741
Cul9,117,47,266,152,313,88,143,84
Srf,2648,2484,4028,2570,3203,3623,2994,4955
Ptk7,6054,5938,3989,3819,5353,3448,4241,3579
Klc4,336,358,221,443,513,117,225,175
Mrpl2,1290,1222,760,1278,1914,1520,971,1494
Cul7,2087,2235,2285,4203,2654,2712,3192,3747
Rrp36,436,446,420,589,516,664,444,571
Klhdc3,1813,1938,1246,1814,2333,1384,1600,1658
Mea1,370,366,550,600,621,452,462,448
Ppp2r5d,1873,2263,2081,2943,2926,2977,2399,4051
Pex6,1161,1164,849,1460,1611,1442,866,972
Gnmt,2,12,0,3,4,8,2,4
Cnpy3,1151,1167,1055,1146,1315,1114,1187,1469
Ptcra,2,1,0,0,0,1,0,0
Rpl7l1,3477,4069,2653,3878,4323,5446,3106,4841
Bicral,598,616,380,655,780,478,353,552
Tbcc,324,289,381,394,460,433,339,315
Prph2,0,1,0,0,0,0,1,0
Ubr2,2216,2181,2281,2236,3385,2430,2348,2795
Gm54009,6,12,8,64,4,0,0,0
Trerf1,632,905,284,460,465,211,499,554
Mrps10,1030,921,795,755,1328,1209,831,1104
Guca1b,0,3,1,4,1,6,2,12
Guca1a,2,4,9,1,11,3,2,3
Cimip3,0,0,0,0,0,0,0,0
AI661453,11,35,19,2,26,13,6,0
Taf8,546,525,247,525,719,484,376,546
Ccnd3,1725,1893,2070,1264,1888,1903,1790,2925
Bysl,1182,1381,1305,991,1291,2071,1082,1893
Gm20517,3,1,3,3,0,3,0,0
Med20,572,547,422,553,824,564,445,630
Usp49,51,49,49,61,43,38,49,69
Tomm6,1399,1308,1221,1284,1548,1657,1355,1905
Frs3,37,16,60,53,101,31,54,43
Prickle4,0,0,3,0,0,0,3,1
Pgc,4,0,0,0,0,0,1,0
Tfeb,284,231,166,76,319,47,98,98
Mdfi,1547,1463,160,305,1062,129,106,24
Foxp4,2032,1966,1616,1169,2517,1798,2237,2549
9830107B12Rik,0,0,0,0,0,0,0,0
A530064D06Rik,1,0,1,0,0,0,0,0
Trem1,30,19,13,0,3,3,7,1
Trem3,1,2,4,0,5,0,0,0
Treml4,1,0,0,0,0,0,0,2
Treml2,3,5,2,0,0,0,0,0
Trem2,44,16,19,2,11,2,27,3
Treml1,3,0,2,0,0,0,1,5
Nfya,1203,1208,999,1318,1669,1680,781,1439
Oard1,551,430,300,384,695,484,370,594
Apobec2,3,5,2,2,23,2,0,0
Tspo2,14,11,0,0,0,0,0,0
Unc5cl,289,180,0,0,3,0,0,0
Lrfn2,0,0,0,0,0,0,0,0
Mocs1,361,408,325,283,357,221,379,393
Daam2,1253,1595,284,607,351,89,421,204
Kif6,26,23,26,18,33,8,26,32
Rftn1,884,1017,2301,285,1262,730,2168,1735
Dazl,0,0,0,0,0,0,1,0
Plcl2,379,283,114,205,164,56,254,301
Tbc1d5,455,464,586,744,767,828,563,858
Satb1,96,103,131,204,395,43,258,141
Gm54011,7,4,0,16,0,0,0,0
Kcnh8,0,1,0,0,2,0,0,0
Gm29770,14,31,4,11,12,25,12,28
Efhb,20,18,2,9,18,5,16,20
Rab5a,968,935,1330,976,1544,1108,1312,1363
Pp2d1,3,1,2,0,0,1,0,3
Kat2b,479,481,743,323,839,536,627,543
Sgo1,853,970,601,933,1400,1060,885,1545
Sult1c2,0,0,0,0,0,0,0,0
Sult1c1,0,0,0,0,0,0,0,0
Slc5a7,0,0,9,3,0,0,5,116
St6gal2,0,0,2,0,0,0,2,1
Vmn2r118,4,0,0,0,0,0,0,1
Pot1b,187,236,119,156,191,157,144,184
Adgre4,4,0,0,0,0,0,0,0
Zfp119a,96,57,68,67,64,74,35,93
Zfp959,95,79,92,95,124,115,100,140
Zfp119b,56,15,42,28,71,51,46,48
Ebi3,0,9,2,0,0,0,3,0
Yju2,198,205,169,242,284,315,173,330
Shd,8,4,0,7,6,6,0,0
Fsd1,90,64,131,237,122,64,84,76
Stap2,28,21,47,20,38,8,16,15
Mpnd,820,778,938,1575,1808,720,1135,952
Sh3gl1,1757,1575,1952,1641,1870,1524,1771,2048
Chaf1a,1488,1721,1152,1758,2154,2252,1614,2786
Ubxn6,1099,1028,844,1112,1279,995,847,1091
Hdgfl2,1773,1577,1279,1705,2273,1990,1481,2050
Plin4,592,335,43,7,2,0,8,18
Plin5,3,6,9,1,3,3,0,0
Lrg1,13,3,23,0,1,0,0,0
Sema6b,137,107,220,63,125,102,182,182
Tnfaip8l1,97,70,89,71,55,21,40,30
Mydgf,736,637,731,589,805,723,598,617
Dpp9,1280,1560,1786,1968,1948,2745,2050,3054
Fem1a,1578,1880,1137,1543,1832,2040,1009,1570
Ticam1,196,199,298,320,281,163,304,199
Plin3,645,734,860,1044,1465,616,945,728
Arrdc5,0,4,0,0,0,0,0,0
Uhrf1,2993,3599,2602,3854,3310,4108,3288,5528
Kdm4b,889,911,547,913,990,662,729,614
Ptprs,4532,4248,5590,7749,8907,4863,4619,4892
Znrf4,0,0,0,0,0,0,0,0
Tincr,38,18,15,3,20,30,8,49
Safb2,1367,1501,1172,1499,1396,1584,1107,1880
Safb,2733,2939,2079,2731,2239,3129,2162,3649
Micos13,703,689,518,712,803,689,417,536
Rpl36,5414,5337,3382,5347,7495,6260,4425,6820
Lonp1,3586,3817,2404,3556,8139,4346,4338,4452
Catsperd,6,6,1,12,3,9,5,1
Ranbp3,2438,2679,1863,2487,2943,3690,2292,3759
Vmac,186,245,137,112,127,61,97,67
Ndufa11,1339,1375,843,845,964,851,809,883
Nrtn,1504,1656,51,115,135,42,13,20
Dus3l,954,976,713,1128,1278,1313,796,1488
Prr22,13,12,6,17,13,13,10,34
Rfx2,106,160,57,95,80,37,45,72
Acsbg2,1,2,0,1,0,0,0,0
Acsbg3,21,16,2,11,17,14,8,9
Mllt1,2327,2719,1914,2500,3364,3401,2153,3785
Acer1,0,1,0,0,0,1,0,1
Clpp,1250,1181,753,1156,1525,1326,1119,1684
Alkbh7,106,66,132,125,165,161,144,146
Pspn,7,2,3,5,2,4,5,0
Gtf2f1,1372,1236,1448,1554,1726,2258,1417,1991
Khsrp,3062,3327,2393,3273,3588,3955,2655,4854
Slc25a41,1,1,0,1,1,1,1,0
Slc25a23,497,470,179,263,1698,345,391,264
Crb3,1,7,2,0,8,0,5,0
Dennd1c,6,1,2,0,1,0,3,0
Tubb4a,12,13,168,4,80,12,57,7
Tnfsf9,131,70,118,14,70,65,102,91
Cd70,0,0,0,0,0,0,0,0
Tnfsf14,1,0,0,0,0,0,1,0
C3,1879,91,2104,9,408,29,597,26
Trip10,1051,987,1271,748,1079,1122,1193,1663
Gpr108,680,539,747,739,840,750,561,638
Vav1,55,8,14,0,1,0,30,0
Adgre1,17,3,70,0,5,0,28,0
Vmn2r120,0,0,0,0,0,0,0,0
Gm54014,5,5,0,13,1,2,0,0
Cntnap5c,0,3,0,0,0,0,0,0
Pdzph1,0,0,0,0,0,0,0,0
Nudt12,205,220,81,98,127,50,38,88
Gm53985,0,0,1,4,4,1,0,0
Gm53986,1,0,3,13,0,0,0,0
Efna5,131,197,1014,3938,364,404,246,542
Fbxl17,610,563,858,1033,818,753,845,1118
Gm53980,1,1,1,15,1,1,0,0
Gm41607,1,5,0,0,1,2,0,5
Gm53982,1,4,3,5,0,3,0,0
Fer,388,408,748,595,819,486,892,865
Pja2,1293,1584,3003,2189,1976,1642,2196,2224
Man2a1,1908,2586,5974,1611,3917,2714,7997,6044
4930583I09Rik,0,1,0,0,0,0,0,0
Gm4701,0,0,0,0,0,0,0,0
Gm53983,52,91,47,68,26,1,23,11
Tmem232,1,1,0,0,6,0,0,2
Gm53984,63,77,11,50,17,10,0,6
Vapa,2332,2784,2747,2546,5136,4444,2946,4066
Txndc2,0,2,2,0,3,6,4,0
Rab31,1109,1219,1505,608,3543,2758,2023,2211
Ppp4r1,1209,1545,1759,1582,2097,2687,2088,3201
Ralbp1,1832,1650,1765,1769,2535,1987,2014,2281
Twsg1,2077,1796,2358,2771,1792,1473,1852,2090
Ankrd12,281,252,596,341,450,338,413,523
Ndufv2,1451,1606,1397,1716,1901,1586,1216,1605
Washc1,532,423,562,646,712,538,585,766
Ddx11,670,844,518,774,810,1181,542,889
Mtcl1,116,122,239,101,286,319,327,607
Rab12,819,860,1272,1039,1725,1441,1258,1565
Themis3,0,3,0,0,0,0,0,4
Ptprm,296,360,796,375,504,94,573,684
Lrrc30,0,0,0,0,5,2,0,0
Lama1,122,48,191,10,144,31,234,22
Arhgap28,373,358,612,731,1917,1574,760,1053
L3mbtl4,0,1,0,0,0,0,0,0
Tmem200c,0,0,4,4,0,0,0,0
Epb41l3,58,21,2651,2863,1015,655,1775,3023
Gm53973,21,47,7,38,10,1,0,5
Zbtb14,410,412,388,587,599,491,472,834
Akain1,0,0,0,0,0,0,0,0
Dlgap1,22,22,16,1,11,3,6,13
Tgif1,525,506,973,598,1080,685,891,1016
Myl12b,793,782,1137,918,2012,953,881,914
Myl12a,6169,5650,14280,5482,12196,9134,11631,12364
Myom1,117,73,268,24,23,27,34,30
Lpin2,306,320,419,460,560,535,493,651
Emilin2,775,1497,3361,1849,2699,3525,524,448
Smchd1,2155,2939,2023,3050,2622,3767,2257,4060
Ndc80,821,928,657,948,976,1127,893,1273
Spdya,4,7,4,22,21,5,6,10
Wdr43,3407,4053,2232,3477,5271,5945,3005,5914
Togaram2,37,24,9,10,1,0,3,2
Pcare,0,0,0,0,0,0,0,0
Clip4,229,133,323,211,63,11,42,35
Alk,10,29,4,16,3,3,2,4
Gm53975,1,0,0,1,0,0,1,1
Gm53976,4,0,1,21,1,0,1,2
Ypel5,262,225,520,244,683,214,545,308
Lbh,417,215,9339,420,9555,798,6245,1550
Lclat1,295,369,1698,670,1387,720,1233,1064
Capn13,0,0,0,0,0,0,0,0
Galnt14,0,0,102,10,1,0,1,0
Ehd3,25,17,338,140,118,30,90,38
Gm53977,1,0,0,8,1,0,0,0
Xdh,212,43,902,70,1193,423,1138,579
Srd5a2,3,1,0,2,2,0,0,1
Memo1,1646,1702,1483,1366,2009,2481,1705,2766
Dpy30,518,558,463,586,681,855,529,1064
Gm31328,0,0,0,0,0,0,0,0
Spast,843,1159,790,1265,1366,1208,984,1351
Slc30a6,473,557,444,459,546,483,455,509
Nlrc4,1,7,1,3,0,1,0,3
Yipf4,899,936,759,858,1151,775,659,859
Birc6,3464,3844,3472,3118,2866,3967,2573,4680
Ttc27,1140,1161,431,754,1033,1540,583,1108
Ltbp1,935,664,8391,1647,2081,3447,3019,7674
Rasgrp3,17,11,295,2,24,3,20,8
Fam98a,1454,1756,1840,1799,1999,1933,1519,2116
Crim1,1048,886,11178,1275,2431,3589,4120,6238
Fez2,363,401,2490,519,1119,1280,1634,3043
Gm53961,2,3,2,4,0,0,0,0
Vit,72,101,170,3,42,2,17,5
Strn,977,1499,1178,1211,1201,1171,924,1420
Heatr5b,952,1006,1118,1346,1185,1108,913,1114
Gpatch11,352,393,461,464,442,439,384,468
Eif2ak2,907,535,612,635,685,642,677,656
Gm26637,32,13,2,11,11,5,14,4
Sult6b1,0,3,0,1,2,1,1,3
Cebpzos,71,64,63,66,148,45,62,73
Cebpz,1900,2216,1223,1764,2491,3246,1537,3036
Ndufaf7,319,419,273,511,495,445,268,393
Prkd3,1749,2023,1651,2569,3651,2726,1744,2064
Qpct,31,26,74,77,180,52,63,61
Cdc42ep3,347,275,906,536,362,284,904,705
Rmdn2,90,53,188,95,92,63,141,154
Cyp1b1,529,939,3310,3472,189,182,220,610
Atl2,1188,1437,1436,1366,1771,1845,962,1639
Hnrnpll,1975,2528,2027,2572,2715,2760,2387,3998
4933407O12Rik,2,4,7,4,6,5,4,2
Galm,136,117,202,204,408,176,230,416
Srsf7,3865,4186,2649,4190,4927,4856,3161,5123
Gemin6,481,480,330,464,577,587,376,736
Ttc39d,0,0,0,1,1,2,0,0
Dhx57,416,553,497,744,655,447,443,519
Morn2,45,52,19,71,49,48,21,32
Arhgef33,13,7,6,26,21,19,7,12
Sos1,862,1293,1094,979,1473,1203,1193,1810
Cdkl4,10,3,0,6,11,0,0,0
Map4k3,801,830,1924,1408,1014,604,1081,839
Tmem178,0,0,7,63,8,0,16,1
Thumpd2,135,124,123,176,140,128,131,174
Slc8a1,38,7,754,379,485,113,359,255
Pkdcc,1344,1839,1249,838,597,241,1303,619
Eml4,1727,2303,1319,1877,2700,2353,1547,1892
Cox7a2l,1432,1473,1383,1705,2558,1220,1325,1479
Kcng3,5,11,0,3,2,0,0,1
Mta3,296,288,646,440,700,160,650,514
Haao,6,67,0,2,0,0,0,0
Zfp36l2,2088,2413,2978,3171,3097,4661,2552,6267
Thada,765,1010,650,916,1054,1406,642,1251
Plekhh2,258,515,808,1174,869,917,329,722
Dync2li1,299,272,193,491,534,240,203,325
Abcg5,0,0,0,2,0,0,0,1
Abcg8,0,1,0,0,0,0,0,0
Lrpprc,1972,2846,1481,2015,3521,3916,2068,4040
Ppm1b,1167,1425,1393,1454,1649,1600,1483,1874
Slc3a1,0,0,2,3,1,5,0,3
Prepl,939,982,1795,1145,1230,821,1213,1328
Camkmt,95,117,111,123,162,98,117,137
Six3,0,3,2,5,1,0,0,0
Six2,76,108,313,155,25,9,13,1
Srbd1,596,782,364,713,926,807,542,861
Prkce,310,275,300,247,937,502,390,304
